CSI CODE(full Code);Code_Main_Division;Name_Main_Division;Sub_Division1_Code;Sub_Division1_Name;Sub_Division2_Code;Sub_Division2_Name_2;ITEM DESCRIPTION_Code_Item;ITEM DESCRIPTION_Name_Item;UNIT;DAILY OUTPUT;MAN HOURS;EQUIP. HOURS;CREW STRUCTURE COMBINED;Crew_Number1;Crew_Memeber_ Desc.1;Crew_Memeber_ Number2;Crew_Memeber_ Desc.2;Crew_Memeber_ Number3;Crew_Memeber_ Desc.3;Crew_Memeber_ Number4;Crew_Memeber_ Desc.4;Crew_Memeber_ Number5;Crew_Memeber_ Desc.5;Crew_Memeber_ Number6;Crew_Memeber_ Desc.6;Crew_Memeber_ Number7;Crew_Memeber_ Desc.7;Crew_Memeber_ Number8;Crew_Memeber_ Desc.8;Crew_Memeber_ Number9;Crew_Memeber_ Desc.9;Crew_Memeber_ Number10;Crew_Memeber_ Desc.10;Crew_Memeber_ Number11;Crew_Memeber_ Desc.11;Crew_Memeber_ Number12;Crew_Memeber_ Desc.12;Crew_Memeber_ Number13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0100;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0100;Boring job, mobilization & demobilization, average 40 km within city limits;Job;2;16;8;1.00 Skilled Foreman 2.00 Building Laborers 1.00 Light Equip. Driver 1.00 Flat Truck W/Auger 1.00 Truck3ton;1.00;Skilled Foreman;2.00;Building Laborers;1.00;Light Equip. Driver;1.00;Flat Truck W/Auger;1.00;Truck3ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0300;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0300;Boring, auger holes in earth, no sample, 100 mm;LM;16;2;1;1.00 Skilled Foreman 2.00 Building Laborers 1.00 Light Equip. Driver 1.00 Flat Truck W/Auger 1.00 Truck3ton;1.00;Skilled Foreman;2.00;Building Laborers;1.00;Light Equip. Driver;1.00;Flat Truck W/Auger;1.00;Truck3ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0400;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0400;Cased boring in earth, with samples, 65 mm;LM;13;2.462;1.231;1.00 Skilled Foreman 2.00 Building Laborers 1.00 Light Equip. Driver 1.00 Flat Truck W/Auger 1.00 Truck3ton;1.00;Skilled Foreman;2.00;Building Laborers;1.00;Light Equip. Driver;1.00;Flat Truck W/Auger;1.00;Truck3ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0500;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0500;"Cased boring in earth, with samples; 100 mm";LM;8;4;2;1.00 Skilled Foreman 2.00 Building Laborers 1.00 Light Equip. Driver 1.00 Flat Truck W/Auger 1.00 Truck3ton;1.00;Skilled Foreman;2.00;Building Laborers;1.00;Light Equip. Driver;1.00;Flat Truck W/Auger;1.00;Truck3ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0600;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0600;Drilling in rock no sampling;LM;9;2.667;1.778;1.00 Skilled Foreman 1.00 Building Laborer 1.00 Light Equip. Driver 1.00 Crawler Type Drill-100mm 1.00 Air Compressor-600CFM with15m Air Hose-75mm-dia;1.00;Skilled Foreman;1.00;Building Laborer;1.00;Light Equip. Driver;1.00;Crawler Type Drill-100mm;1.00;Air Compressor-600CFM with15m Air Hose-75mm-dia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 123-0700;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 123;BORING:;0700;Drilling in rock with / casing & Sampling;LM;7.5;3.2;2.133;1.00 Skilled Foreman 1.00 Building Laborer 1.00 Light Equip. Driver 1.00 Crawler Type Drill-100mm 1.00 Air Compressor-600CFM with15m Air Hose-75mm-dia;1.00;Skilled Foreman;1.00;Building Laborer;1.00;Light Equip. Driver;1.00;Crawler Type Drill-100mm;1.00;Air Compressor-600CFM with15m Air Hose-75mm-dia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-0100;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;0100;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 25 mm;EA;42.5;0.588;0.188;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-0150;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;0150;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 25 mm - repeated with another outputs;EA;27.73;0.902;0.288;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-0300;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;0300;Drilling core, in 150 mm concrete slab, including layout & setup, diameter 76 mm;EA;37.22;0.672;0.215;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
020 125-0750;02;SITE WORK;0  ;SUBSURFACE INVESTIGATION & DEMOLITION;020 125;DRILLING,CORE:;0750;Drilling core, in 200 mm concrete slab, including layout & setup, diameter 150 mm;EA;25.71;0.972;0.311;0.125 Skilled Foreman 2.00 Skilled Laborer 1.00 Laborer 1.00 Core Drill Large;0.125;Skilled Foreman;2.00;Skilled Laborer;1.00;Laborer;1.00;Core Drill Large;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
